## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPCC162.02c,1,0.74228173,0.41035873,0.44280356,0.34871638,0.16752511,0.15960039,0.15089813,0.08738323,0.07503317,0.07190385,0.07233136,0.07353364,0.06449136,0.057547506,0.051073186
SPCC16C4.21,1,1.1908073,0.5776155,0.3969578,0.25533953,0.22314021,0.12994923,0.055302177,0.082310684,0.11659871,0.11340227,0.08133936,0.034767047,0.025930524,0.020955162,0.01
SPCC1884.01,1,0.8471951,1.0351216,0.47120163,0.4195292,0.2056584,0.14542454,0.13615024,0.08364168,0.06545701,NA,0.07923704,0.07744711,0.07733759,0.06504592,0.06927735
SPAC1002.10c,1,0.44226235,0.53238726,0.42535624,0.3747494,0.2264772,0.22281072,0.18317744,0.1627497,0.15748973,0.18173623,0.17314841,0.22464287,0.20244138,0.16466734,0.16458668
SPCC1884.02,1,0.8064366,1.5767362,0.6398016,0.345459,0.2830015,0.13751104,NA,0.09937641,0.12155841,0.123087645,0.11497044,0.08762325,0.05784183,0.04795948,0.035825763
SPCC16C4.19,1,1.1578283,0.84138554,0.6171922,0.5223046,0.29873532,0.2894852,0.22278617,0.20497964,0.20808044,0.17659484,0.23440829,0.21763344,0.17138265,0.16546313,0.114696436
SPBC336.01,1,0.6700543,0.66189027,0.4887732,0.42624608,0.24222854,0.21084778,NA,0.1429991,0.11667785,0.15336724,0.14061396,0.11495723,NA,0.13121283,0.09248113
SPBC14F5.04c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPCC16C4.17,1,1.0471847,0.8130356,0.7016556,0.5380997,0.38536796,0.3760281,0.22755629,0.23375456,0.27699193,0.26446787,0.27144426,0.24493001,0.21294773,0.1862309,0.10152758
SPCC297.05,1,0.61795866,0.5015631,0.30244428,0.2587123,0.16380325,0.16067067,0.14196213,0.123201646,0.11010811,NA,0.12555738,0.12695205,0.112643994,0.104413,0.088937044
SPBC336.08,1,0.7646088,0.8115659,0.66664594,0.4528805,0.3500593,0.24030682,0.17628965,0.17146268,0.1806942,0.15608643,0.15168089,0.115842305,0.07873142,0.11276668,0.056880623
SPBC336.07,1,0.8792788,0.9469793,0.7322196,0.51383525,0.29506975,0.33328518,0.31409013,0.24942158,0.25193492,0.28018558,0.25573462,0.2666194,0.2288884,0.21334901,0.22766154
SPBC336.04,1,0.54683554,0.48125786,0.3045253,NA,0.16886851,0.17023551,0.15014754,0.112253055,0.118035115,0.12280027,0.11953803,0.1310983,0.11778464,0.10238087,0.07921025
SPBC336.02,1,0.26379573,0.20462193,0.21499257,0.27456385,0.21452829,0.27053243,0.24930407,0.20079975,0.20525604,NA,0.23739237,0.19485332,0.17086144,0.13430278,0.0910978
SPBC336.03,1,0.7478442,0.6028479,0.45624986,0.42389953,0.32114527,0.2994547,0.19728535,0.1877483,NA,0.26395914,0.18539086,0.16406088,0.13216381,0.1135213,0.11780514
SPBC405.04c,1,1.3879696,1.2549539,0.9181322,NA,0.31184605,0.26599616,0.20910166,0.18079843,0.15855177,0.1860247,0.15881492,0.12156224,0.13811114,0.1099299,0.101322226
SPBC1861.04c,0.99999994,0.8362495,0.68506813,0.53931594,0.43243504,0.23617925,0.26480952,0.23902197,0.20098574,0.19439049,0.19116268,0.22236836,0.25351554,0.22651608,0.19317596,0.18614842
SPCC297.03,1,0.80951214,0.82965416,0.4695314,0.26589036,0.2362602,0.16367167,0.11175953,0.12518607,0.15040386,0.14505394,0.11358235,0.05794093,0.05905718,0.046411816,0.038652454
SPAC227.11c,0.99999994,0.6676755,0.6863452,0.5336631,0.42409438,0.31097493,0.22088414,0.18388069,0.15764421,0.20169093,0.16713862,0.18565613,0.16137904,0.13738355,0.13693619,0.12752262
SPAC212.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC212.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPBC14F5.03c,1,0.2396361,0.21217632,0.17868052,0.17246754,0.12357944,0.123857915,0.10806001,0.09874129,0.091916375,0.08692785,0.104818486,0.11209649,0.09079108,0.08935846,0.074981764
